Direction,Elevator,Floor,Layout,Region,Renovation,Size,age,Price
9,1,12,10,14,3,121.0,17,508.0
9,1,27,17,14,3,119.0,8,549.0
7,1,22,9,14,2,86.0,8,380.0
9,1,24,16,14,3,119.0,8,549.0
9,0,6,16,14,2,122.0,17,516.0
9,0,6,16,14,3,135.0,14,546.0
9,1,26,10,14,3,91.0,9,399.0
9,1,21,16,14,2,121.0,6,550.0
9,1,26,9,14,0,91.0,9,425.0
9,0,6,18,14,3,165.0,15,550.0
9,2,6,9,14,2,80.0,21,328.0
9,2,6,9,14,0,54.0,41,205.0
9,0,6,10,14,3,89.0,23,330.0
1,1,24,9,14,3,106.0,18,380.0
7,0,6,2,14,2,46.0,31,205.0
9,2,4,9,14,2,88.0,18,280.0
3,0,6,9,14,2,67.0,35,236.0
9,0,6,9,14,3,53.0,40,170.0
2,0,6,9,14,2,67.0,25,240.0
7,0,5,9,14,2,50.0,42,180.0
9,2,19,25,14,1,220.0,6,825.0
9,0,6,9,14,2,57.0,28,230.0
3,0,6,9,14,3,88.0,16,380.0
9,0,6,25,14,3,152.0,23,560.0
9,1,14,9,14,3,99.0,16,388.0
8,1,24,16,14,3,143.0,18,445.0
9,2,12,16,14,3,131.0,13,560.0
9,1,11,10,14,0,114.0,17,400.0
3,1,13,9,14,2,117.0,16,430.0
9,0,6,25,14,3,206.0,15,610.0
9,2,6,2,14,2,54.0,26,210.0
9,0,6,10,14,2,84.0,18,360.0
9,0,6,9,14,2,91.0,16,408.0
7,1,10,9,14,3,86.0,14,355.0
3,0,6,9,14,3,86.0,25,300.0
